Year,CO2‚ RF (W/m²),CO2 kWh,,CH4‚ RF (W/m²),CH4 kWh,,NO2‚ RF (W/m²),N2O kWh,,,,,,,
0,1.79E-12,8.00E+03,8.00E+03,1.30E-10,5.80E+05,5.80E+05,3.87E-10,1.73E+06,1.73E+06,,,Year,Int CO2,Int CH4,Int N2O
1,1.77E-12,7.92E+03,1.59E+04,1.19E-10,5.33E+05,1.11E+06,3.84E-10,1.72E+06,3.45E+06,,,23,171468.6532,6270425.127,37615212.43
2,1.75E-12,7.84E+03,2.38E+04,1.10E-10,4.91E+05,1.60E+06,3.81E-10,1.70E+06,5.15E+06,,,22,165115.4955,6185134.698,36200912.45
3,1.74E-12,7.76E+03,3.15E+04,1.01E-10,4.52E+05,2.06E+06,3.77E-10,1.69E+06,6.83E+06,,,21,158698.4876,6092432.185,34774151.75
4,1.72E-12,7.68E+03,3.92E+04,9.30E-11,4.15E+05,2.47E+06,3.74E-10,1.67E+06,8.50E+06,,,20,152216.9876,5991673.449,33334820.56
5,1.70E-12,7.61E+03,4.68E+04,8.55E-11,3.82E+05,2.85E+06,3.71E-10,1.66E+06,1.02E+07,,,19,145670.3475,5882158.37,31882808.11
6,1.69E-12,7.53E+03,5.43E+04,7.87E-11,3.52E+05,3.21E+06,3.67E-10,1.64E+06,1.18E+07,,,18,139057.9126,5763125.988,30418002.69
7,1.67E-12,7.46E+03,6.18E+04,7.24E-11,3.24E+05,3.53E+06,3.64E-10,1.63E+06,1.34E+07,,,17,132379.0216,5633749.209,28940291.58
8,1.65E-12,7.38E+03,6.92E+04,6.66E-11,2.98E+05,3.83E+06,3.61E-10,1.61E+06,1.50E+07,,,16,125633.0066,5493129.065,27449561.07
9,1.64E-12,7.31E+03,7.65E+04,6.13E-11,2.74E+05,4.10E+06,3.58E-10,1.60E+06,1.66E+07,,,15,118819.1931,5340288.46,25945696.45
10,1.62E-12,7.24E+03,8.37E+04,5.64E-11,2.52E+05,4.35E+06,3.55E-10,1.59E+06,1.82E+07,,,14,111936.8995,5174165.388,24428582.01
11,1.60E-12,7.16E+03,9.09E+04,5.19E-11,2.32E+05,4.58E+06,3.52E-10,1.57E+06,1.98E+07,,,13,104985.4378,4993605.548,22898101.01
12,1.59E-12,7.09E+03,9.80E+04,4.77E-11,2.13E+05,4.80E+06,3.49E-10,1.56E+06,2.14E+07,,,12,97964.11274,4797354.327,21354135.68
