Year,CO2‚ RF (W/m^2),CO2 kWh,CO2 Aggregate warming,CH4‚ RF (W/m^2),CH4 kWh,CH4 Aggregate warming,N2O‚ RF (W/m^2),N2O kWh,N2O Aggregate warming,,,,,,
2023,0,7996.08428,7996.08428,0.0000000001297593395,579826.4944,579826.4944,0.0000000003872602512,1730463.138,1730463.138,,,Year,Int CO2,Int CH4,Int N2O
2022,0,7916.521912,15912.60619,0.0000000001193843556,533466.1276,1113292.622,0.0000000003838780872,1715350.02,3445813.158,,,23,171468.6532,6270425.127,37615212.43
2021,0,7837.751202,23750.35739,0.0000000001098389095,490812.5311,1604105.153,0.0000000003805254616,1700368.892,5146182.05,,,22,165115.4955,6185134.698,36200912.45
2020,0,7759.764275,31510.12167,0.0000000001010566752,451569.3279,2055674.481,0.0000000003772021163,1685518.604,6831700.654,,,21,158698.4876,6092432.185,34774151.75
2019,0,7682.55333,39192.675,0,415463.8379,2471138.319,0.0000000003739077957,1670798.011,8502498.666,,,20,152216.9876,5991673.449,33334820.56
2018,0,7606.110647,46798.78565,0,382245.1836,2853383.503,0.0000000003706422463,1656205.982,10158704.65,,,19,145670.3475,5882158.37,31882808.11
2017,0,7530.428582,54329.21423,0,351682.5462,3205066.049,0.0000000003674052168,1641741.393,11800446.04,,,18,139057.9126,5763125.988,30418002.69
2016,0,7455.499566,61784.71379,0,323563.5623,3528629.611,0.0000000003641964581,1627403.132,13427849.17,,,17,132379.0216,5633749.209,28940291.58
2015,0,7381.316106,69166.0299,0,297692.8483,3826322.459,0.0000000003610157233,1613190.095,15041039.27,,,16,125633.0066,5493129.065,27449561.07
2014,0,7307.870783,76473.90068,0,273890.6423,4100213.102,0.0000000003578627677,1599101.189,16640140.46,,,15,118819.1931,5340288.46,25945696.45
2013,0,7235.156254,83709.05694,0,251991.5557,4352204.657,0.0000000003547373486,1585135.329,18225275.79,,,14,111936.8995,5174165.388,24428582.01
2012,0,7163.165246,90872.22218,0,231843.4234,4584048.081,0.0000000003516392256,1571291.44,19796567.23,,,13,104985.4378,4993605.548,22898101.01
2011,0,7091.890561,97964.11274,0,213306.2467,4797354.327,0.0000000003485681603,1557568.458,21354135.68,,,12,97964.11274,4797354.327,21354135.68
2010,0,7021.325071,104985.4378,0,196251.2209,4993605.548,0.0000000003455239163,1543965.327,22898101.01,,,11,90872.22218,4584048.081,19796567.23
2009,0,6951.461719,111936.8995,0,180559.8397,5174165.388,0.0000000003425062594,1530481,24428582.01,,,10,83709.05694,4352204.657,18225275.79
2008,0,6882.29352,118819.1931,0,166123.072,5340288.46,0.0000000003395149575,1517114.439,25945696.45,,,9,76473.90068,4100213.102,16640140.46
2007,0,6813.813555,125633.0066,0,152840.6045,5493129.065,0.0000000003365497803,1503864.616,27449561.07,,,8,69166.0299,3826322.459,15041039.27
2006,0,6746.014977,132379.0216,0,140620.1445,5633749.209,0.0000000003336104997,1490730.511,28940291.58,,,7,61784.71379,3528629.611,13427849.17
2005,0,6678.891007,139057.9126,0,129376.7786,5763125.988,0.0000000003306968894,1477711.114,30418002.69,,,6,54329.21423,3205066.049,11800446.04
2004,0,6612.434931,145670.3475,0,119032.3825,5882158.37,0.0000000003278087254,1464805.422,31882808.11,,,5,46798.78565,2853383.503,10158704.65
2003,0,6546.640104,152216.9876,0,109515.0787,5991673.449,0.0000000003249457854,1452012.443,33334820.56,,,4,39192.675,2471138.319,8502498.666
2002,0,6481.499946,158698.4876,0,100758.7364,6092432.185,0.0000000003221078491,1439331.193,34774151.75,,,3,31510.12167,2055674.481,6831700.654
2001,0,6417.007944,165115.4955,0,92702.51269,6185134.698,0.000000000319294698,1426760.695,36200912.45,,,2,23750.35739,1604105.153,5146182.05
2000,0,6353.157649,171468.6532,0,85290.42903,6270425.127,0.0000000003165061159,1414299.983,37615212.43,,,1,15912.60619,1113292.622,3445813.158
1999,0,6289.942674,177758.5958,0,78470.98285,6348896.11,0.000000000313741888,1401948.097,39017160.52,,,0,7996.08428,579826.4944,1730463.138
1998,0,6227.356698,183985.9525,0,72196.78948,6421092.899,0.0000000003110018016,1389704.087,40406864.61,,,,,,
1997,0,6165.393464,190151.346,0,66424.25291,6487517.152,0.000000000308285646,1377567.01,41784431.62,,,,,,
1996,0,6104.046774,196255.3928,0,61113.26289,6548630.415,0.0000000003055932122,1365535.934,43149967.56,,,,,,
1995,0,6043.310494,202298.7033,0,56226.91618,6604857.331,0.0000000003029242928,1353609.932,44503577.49,,,,,,
1994,0,5983.17855,208281.8818,0,51731.26018,6656588.591,0.0000000003002786827,1341788.087,45845365.58,,,,,,
1993,0,5923.644928,214205.5267,0,47595.05699,6704183.648,0.0000000002976561782,1330069.489,47175435.06,,,,,,
1992,0,5864.703677,220070.2304,0,43789.56635,6747973.215,0.0000000002950565775,1318453.235,48493888.3,,,,,,
1991,0,5806.3489,225876.5793,0,40288.34594,6788261.561,0.0000000002924796807,1306938.433,49800826.73,,,,,,
1990,0,5748.574763,231625.1541,0,37067.06766,6825328.628,0.0000000002899252893,1295524.197,51096350.93,,,,,,
1989,0,5691.375488,237316.5296,0,34103.34857,6859431.977,0.0000000002873932068,1284209.647,52380560.58,,,,,,
1988,0,5634.745356,242951.2749,0,31376.59537,6890808.572,0.0000000002848832385,1272993.914,53653554.49,,,,,,
1987,0,5578.678703,248529.9536,0,28867.86132,6919676.434,0.0000000002823951912,1261876.134,54915430.63,,,,,,
1986,0,5523.169923,254053.1236,0,26559.71457,6946236.148,0.0000000002799288734,1250855.452,56166286.08,,,,,,
1985,0,5468.213464,259521.337,0,24436.11704,6970672.265,0.0000000002774840953,1239931.02,57406217.1,,,,,,
1984,0,5413.803831,264935.1409,0,22482.313,6993154.578,0.0000000002750606689,1229101.998,58635319.1,,,,,,
1983,0,5359.935582,270295.0764,0,20684.7265,7013839.305,0.0000000002726584077,1218367.551,59853686.65,,,,,,
1982,0,5306.603332,275601.6798,0,19030.86709,7032870.172,0.0000000002702771267,1207726.854,61061413.5,,,,,,
1981,0,5253.801747,280855.4815,0,17509.24297,7050379.415,0.0000000002679166429,1197179.089,62258592.59,,,,,,
1980,0,5201.525546,286057.0071,0,16109.2812,7066488.696,0.0000000002655767745,1186723.443,63445316.03,,,,,,
1979,0,5149.769502,291206.7766,0,14821.25419,7081309.95,0.0000000002632573415,1176359.112,64621675.14,,,,,,
1978,0,5098.528439,296305.305,0,13636.21214,7094946.162,0.0000000002609581654,1166085.299,65787760.44,,,,,,
1977,0,5047.797234,301353.1022,0,12545.92081,7107492.083,0.0000000002586790693,1155901.213,66943661.66,,,,,,
1976,0,4997.570812,306350.673,0,11542.80437,7119034.888,0.0000000002564198779,1145806.07,68089467.73,,,,,,
